Set,Run,Generations,Execution Time (s),Population Size,Success,Crossover,Fitness Function
136,3,19,0.013942,1280,1,2X,Deceptive TL Trap
136,4,50,0.029496,1280,0,2X,Deceptive TL Trap
136,5,51,0.025127,1280,0,2X,Deceptive TL Trap
136,6,15,0.008743,1280,1,2X,Deceptive TL Trap
136,7,53,0.025892,1280,0,2X,Deceptive TL Trap
136,8,21,0.012315,1280,1,2X,Deceptive TL Trap
136,9,16,0.009313,1280,1,2X,Deceptive TL Trap
136,10,19,0.010982,1280,1,2X,Deceptive TL Trap
137,1,21,0.050686,2560,1,2X,Deceptive TL Trap
137,2,18,0.025891,2560,1,2X,Deceptive TL Trap
137,3,50,0.048786,2560,0,2X,Deceptive TL Trap
137,4,20,0.022527,2560,1,2X,Deceptive TL Trap
137,5,49,0.046389,2560,0,2X,Deceptive TL Trap
137,6,18,0.019937,2560,1,2X,Deceptive TL Trap
137,7,20,0.021789,2560,1,2X,Deceptive TL Trap
137,8,52,0.049029,2560,0,2X,Deceptive TL Trap
137,9,17,0.019167,2560,1,2X,Deceptive TL Trap
137,10,17,0.018814,2560,1,2X,Deceptive TL Trap
138,1,20,0.075494,5120,1,2X,Deceptive TL Trap
138,2,19,0.044024,5120,1,2X,Deceptive TL Trap
138,3,22,0.050445,5120,1,2X,Deceptive TL Trap
138,4,18,0.041752,5120,1,2X,Deceptive TL Trap
138,5,52,0.101191,5120,0,2X,Deceptive TL Trap
138,6,16,0.035978,5120,1,2X,Deceptive TL Trap
138,7,16,0.036537,5120,1,2X,Deceptive TL Trap
138,8,18,0.040574,5120,1,2X,Deceptive TL Trap
138,9,15,0.033882,5120,1,2X,Deceptive TL Trap
138,10,18,0.040312,5120,1,2X,Deceptive TL Trap
139,1,17,0.055817,3600,1,2X,Deceptive TL Trap
139,2,17,0.031597,3600,1,2X,Deceptive TL Trap
139,3,19,0.030345,3600,1,2X,Deceptive TL Trap
139,4,20,0.031271,3600,1,2X,Deceptive TL Trap
139,5,15,0.023786,3600,1,2X,Deceptive TL Trap
139,6,20,0.031028,3600,1,2X,Deceptive TL Trap
139,7,18,0.028100,3600,1,2X,Deceptive TL Trap
139,8,18,0.028499,3600,1,2X,Deceptive TL Trap
139,9,17,0.026739,3600,1,2X,Deceptive TL Trap
139,10,13,0.020581,3600,1,2X,Deceptive TL Trap
140,1,16,0.048525,3000,1,2X,Deceptive TL Trap
140,2,16,0.027517,3000,1,2X,Deceptive TL Trap
140,3,18,0.024876,3000,1,2X,Deceptive TL Trap
140,4,18,0.024397,3000,1,2X,Deceptive TL Trap
140,5,13,0.018116,3000,1,2X,Deceptive TL Trap
140,6,16,0.021790,3000,1,2X,Deceptive TL Trap
140,7,19,0.025521,3000,1,2X,Deceptive TL Trap
140,8,19,0.024939,3000,1,2X,Deceptive TL Trap
140,9,19,0.024534,3000,1,2X,Deceptive TL Trap
140,10,18,0.023314,3000,1,2X,Deceptive TL Trap
141,1,18,0.044328,2560,1,2X,Deceptive TL Trap
141,2,20,0.029158,2560,1,2X,Deceptive TL Trap
141,3,50,0.049173,2560,0,2X,Deceptive TL Trap
141,4,19,0.021997,2560,1,2X,Deceptive TL Trap
141,5,18,0.020672,2560,1,2X,Deceptive TL Trap
141,6,18,0.020665,2560,1,2X,Deceptive TL Trap
141,7,21,0.023453,2560,1,2X,Deceptive TL Trap
141,8,22,0.024025,2560,1,2X,Deceptive TL Trap
141,9,50,0.047083,2560,0,2X,Deceptive TL Trap
141,10,19,0.020756,2560,1,2X,Deceptive TL Trap
142,1,18,0.048669,2800,1,2X,Deceptive TL Trap
142,2,21,0.031695,2800,1,2X,Deceptive TL Trap
142,3,20,0.025168,2800,1,2X,Deceptive TL Trap
142,4,18,0.022566,2800,1,2X,Deceptive TL Trap
142,5,21,0.026665,2800,1,2X,Deceptive TL Trap
142,6,14,0.017855,2800,1,2X,Deceptive TL Trap
142,7,51,0.053484,2800,0,2X,Deceptive TL Trap
142,8,20,0.024100,2800,1,2X,Deceptive TL Trap
142,9,22,0.026299,2800,1,2X,Deceptive TL Trap
142,10,16,0.019659,2800,1,2X,Deceptive TL Trap
143,1,53,0.089246,2700,0,2X,Deceptive TL Trap
143,2,17,0.020474,2700,1,2X,Deceptive TL Trap
143,3,51,0.052791,2700,0,2X,Deceptive TL Trap
143,4,52,0.054415,2700,0,2X,Deceptive TL Trap
143,5,24,0.027883,2700,1,2X,Deceptive TL Trap
143,6,21,0.024534,2700,1,2X,Deceptive TL Trap
143,7,20,0.023379,2700,1,2X,Deceptive TL Trap
143,8,20,0.023513,2700,1,2X,Deceptive TL Trap
143,9,19,0.022344,2700,1,2X,Deceptive TL Trap
143,10,19,0.022472,2700,1,2X,Deceptive TL Trap
144,1,18,0.048525,2750,1,2X,Deceptive TL Trap
144,2,18,0.028314,2750,1,2X,Deceptive TL Trap
144,3,18,0.023042,2750,1,2X,Deceptive TL Trap
144,4,16,0.020103,2750,1,2X,Deceptive TL Trap
144,5,20,0.025070,2750,1,2X,Deceptive TL Trap
144,6,18,0.022231,2750,1,2X,Deceptive TL Trap
144,7,17,0.020882,2750,1,2X,Deceptive TL Trap
144,8,20,0.023786,2750,1,2X,Deceptive TL Trap
144,9,16,0.019279,2750,1,2X,Deceptive TL Trap
144,10,18,0.021368,2750,1,2X,Deceptive TL Trap
145,1,52,0.087231,2650,0,2X,Deceptive TL Trap
145,2,17,0.020461,2650,1,2X,Deceptive TL Trap
145,3,53,0.052866,2650,0,2X,Deceptive TL Trap
145,4,50,0.050891,2650,0,2X,Deceptive TL Trap
145,5,50,0.049957,2650,0,2X,Deceptive TL Trap
145,6,18,0.021108,2650,1,2X,Deceptive TL Trap
145,7,26,0.028375,2650,1,2X,Deceptive TL Trap
145,8,21,0.023789,2650,1,2X,Deceptive TL Trap
145,9,21,0.024076,2650,1,2X,Deceptive TL Trap
145,10,18,0.020809,2650,1,2X,Deceptive TL Trap
146,1,19,0.051352,2780,1,2X,Deceptive TL Trap
146,2,20,0.030521,2780,1,2X,Deceptive TL Trap
146,3,16,0.021208,2780,1,2X,Deceptive TL Trap
146,4,15,0.018515,2780,1,2X,Deceptive TL Trap
146,5,51,0.052840,2780,0,2X,Deceptive TL Trap
146,6,19,0.022856,2780,1,2X,Deceptive TL Trap
146,7,17,0.020661,2780,1,2X,Deceptive TL Trap
146,8,16,0.019288,2780,1,2X,Deceptive TL Trap
146,9,22,0.026243,2780,1,2X,Deceptive TL Trap
146,10,17,0.020364,2780,1,2X,Deceptive TL Trap
147,1,52,0.000469,10,0,UX,Deceptive TL Trap
147,2,45,0.000346,10,0,UX,Deceptive TL Trap
147,3,44,0.000337,10,0,UX,Deceptive TL Trap
147,4,47,0.000402,10,0,UX,Deceptive TL Trap
147,5,39,0.000305,10,0,UX,Deceptive TL Trap
147,6,70,0.000668,10,0,UX,Deceptive TL Trap
147,7,37,0.000296,10,0,UX,Deceptive TL Trap
147,8,62,0.000607,10,0,UX,Deceptive TL Trap
147,9,43,0.000334,10,0,UX,Deceptive TL Trap
147,10,67,0.000612,10,0,UX,Deceptive TL Trap
148,1,100,0.022586,160,0,UX,Deceptive TL Trap
148,2,90,0.015652,160,0,UX,Deceptive TL Trap
148,3,100,0.016647,160,0,UX,Deceptive TL Trap
148,4,100,0.010961,160,0,UX,Deceptive TL Trap
148,5,100,0.010902,160,0,UX,Deceptive TL Trap
148,6,100,0.009300,160,0,UX,Deceptive TL Trap
148,7,100,0.008926,160,0,UX,Deceptive TL Trap
148,8,100,0.007925,160,0,UX,Deceptive TL Trap
148,9,100,0.008582,160,0,UX,Deceptive TL Trap
148,10,100,0.008963,160,0,UX,Deceptive TL Trap
149,1,100,0.111214,1280,0,UX,Deceptive TL Trap
149,2,100,0.072910,1280,0,UX,Deceptive TL Trap
149,3,100,0.074615,1280,0,UX,Deceptive TL Trap
149,4,100,0.074704,1280,0,UX,Deceptive TL Trap
149,5,100,0.072560,1280,0,UX,Deceptive TL Trap
149,6,100,0.070679,1280,0,UX,Deceptive TL Trap
149,7,100,0.074839,1280,0,UX,Deceptive TL Trap
149,8,100,0.073903,1280,0,UX,Deceptive TL Trap
149,9,100,0.075237,1280,0,UX,Deceptive TL Trap
149,10,100,0.076426,1280,0,UX,Deceptive TL Trap
150,1,100,0.337918,5120,0,UX,Deceptive TL Trap
150,2,100,0.299749,5120,0,UX,Deceptive TL Trap
150,3,100,0.311286,5120,0,UX,Deceptive TL Trap
150,4,100,0.317766,5120,0,UX,Deceptive TL Trap
150,5,100,0.307492,5120,0,UX,Deceptive TL Trap
150,6,100,0.304744,5120,0,UX,Deceptive TL Trap
150,7,100,0.310327,5120,0,UX,Deceptive TL Trap
150,8,100,0.294437,5120,0,UX,Deceptive TL Trap
150,9,100,0.304320,5120,0,UX,Deceptive TL Trap
150,10,100,0.300974,5120,0,UX,Deceptive TL Trap
151,1,500,1.385984,5120,0,UX,Deceptive TL Trap
151,2,500,1.341274,5120,0,UX,Deceptive TL Trap
151,3,500,1.347136,5120,0,UX,Deceptive TL Trap
151,4,500,1.318987,5120,0,UX,Deceptive TL Trap
151,5,500,1.345186,5120,0,UX,Deceptive TL Trap
151,6,500,1.338401,5120,0,UX,Deceptive TL Trap
151,7,500,1.364046,5120,0,UX,Deceptive TL Trap
151,8,500,1.379078,5120,0,UX,Deceptive TL Trap
151,9,500,1.327322,5120,0,UX,Deceptive TL Trap
151,10,500,1.364376,5120,0,UX,Deceptive TL Trap
152,1,447,0.298511,1280,0,UX,Deceptive TL Trap
152,2,556,0.320308,1280,0,UX,Deceptive TL Trap
152,3,423,0.259040,1280,1,UX,Deceptive TL Trap
152,4,435,0.279518,1280,1,UX,Deceptive TL Trap
152,5,562,0.323425,1280,0,UX,Deceptive TL Trap
152,6,703,0.425832,1280,0,UX,Deceptive TL Trap
152,7,617,0.375599,1280,1,UX,Deceptive TL Trap
152,8,484,0.311660,1280,1,UX,Deceptive TL Trap
152,9,605,0.405946,1280,1,UX,Deceptive TL Trap
152,10,610,0.392674,1280,0,UX,Deceptive TL Trap
153,1,491,0.647314,2560,1,UX,Deceptive TL Trap
153,2,643,0.790278,2560,1,UX,Deceptive TL Trap
153,3,619,0.761656,2560,1,UX,Deceptive TL Trap
153,4,615,0.790333,2560,1,UX,Deceptive TL Trap
153,5,588,0.814168,2560,1,UX,Deceptive TL Trap
153,6,579,0.746693,2560,1,UX,Deceptive TL Trap
153,7,658,0.830138,2560,0,UX,Deceptive TL Trap
153,8,544,0.667916,2560,1,UX,Deceptive TL Trap
153,9,599,0.754783,2560,1,UX,Deceptive TL Trap
153,10,637,0.836618,2560,1,UX,Deceptive TL Trap
154,1,417,0.469180,2000,1,UX,Deceptive TL Trap
154,2,482,0.494602,2000,1,UX,Deceptive TL Trap
154,3,568,0.530721,2000,0,UX,Deceptive TL Trap
154,4,585,0.611910,2000,1,UX,Deceptive TL Trap
154,5,429,0.436872,2000,1,UX,Deceptive TL Trap
154,6,585,0.571880,2000,1,UX,Deceptive TL Trap
154,7,507,0.517668,2000,1,UX,Deceptive TL Trap
154,8,494,0.491246,2000,0,UX,Deceptive TL Trap
154,9,593,0.608862,2000,1,UX,Deceptive TL Trap
154,10,723,0.682886,2000,0,UX,Deceptive TL Trap
155,1,817,0.854949,2100,1,UX,Deceptive TL Trap
155,2,635,0.698896,2100,1,UX,Deceptive TL Trap
155,3,649,0.678624,2100,1,UX,Deceptive TL Trap
155,4,850,0.899438,2100,1,UX,Deceptive TL Trap
155,5,634,0.669891,2100,1,UX,Deceptive TL Trap
155,6,426,0.424681,2100,1,UX,Deceptive TL Trap
155,7,456,0.467416,2100,1,UX,Deceptive TL Trap
155,8,574,0.663579,2100,1,UX,Deceptive TL Trap
155,9,561,0.555140,2100,0,UX,Deceptive TL Trap
155,10,544,0.580723,2100,1,UX,Deceptive TL Trap
156,1,619,0.656215,2050,1,UX,Deceptive TL Trap
156,2,504,0.474585,2050,1,UX,Deceptive TL Trap
156,3,521,0.509000,2050,1,UX,Deceptive TL Trap
156,4,602,0.617500,2050,1,UX,Deceptive TL Trap
156,5,495,0.476791,2050,1,UX,Deceptive TL Trap
156,6,537,0.569658,2050,1,UX,Deceptive TL Trap
156,7,601,0.553797,2050,1,UX,Deceptive TL Trap
156,8,759,0.793046,2050,1,UX,Deceptive TL Trap
156,9,533,0.509662,2050,1,UX,Deceptive TL Trap
156,10,733,0.706921,2050,1,UX,Deceptive TL Trap
157,1,572,0.572153,2020,1,UX,Deceptive TL Trap
157,2,550,0.533097,2020,1,UX,Deceptive TL Trap
157,3,548,0.577793,2020,1,UX,Deceptive TL Trap
157,4,518,0.516225,2020,1,UX,Deceptive TL Trap
157,5,454,0.480708,2020,1,UX,Deceptive TL Trap
157,6,778,0.764814,2020,1,UX,Deceptive TL Trap
157,7,647,0.628505,2020,0,UX,Deceptive TL Trap
157,8,497,0.491305,2020,1,UX,Deceptive TL Trap
157,9,411,0.423469,2020,1,UX,Deceptive TL Trap
157,10,679,0.634667,2020,0,UX,Deceptive TL Trap
158,1,458,0.497422,2030,1,UX,Deceptive TL Trap
158,2,631,0.594325,2030,1,UX,Deceptive TL Trap
158,3,663,0.648455,2030,1,UX,Deceptive TL Trap
158,4,451,0.420711,2030,0,UX,Deceptive TL Trap
158,5,577,0.578841,2030,1,UX,Deceptive TL Trap
158,6,483,0.451560,2030,1,UX,Deceptive TL Trap
158,7,586,0.592396,2030,0,UX,Deceptive TL Trap
158,8,595,0.599910,2030,0,UX,Deceptive TL Trap
158,9,514,0.476696,2030,1,UX,Deceptive TL Trap
158,10,560,0.550329,2030,1,UX,Deceptive TL Trap
159,1,530,0.835884,2050,1,UX,Deceptive TL Trap
159,2,426,0.663174,2050,1,UX,Deceptive TL Trap
159,3,453,0.730839,2050,1,UX,Deceptive TL Trap
159,4,529,0.821138,2050,1,UX,Deceptive TL Trap
159,5,681,1.047714,2050,0,UX,Deceptive TL Trap
159,6,556,0.915778,2050,1,UX,Deceptive TL Trap
159,7,501,0.755698,2050,1,UX,Deceptive TL Trap
159,8,636,1.037350,2050,1,UX,Deceptive TL Trap
159,9,657,1.014057,2050,1,UX,Deceptive TL Trap
159,10,537,0.921154,2050,1,UX,Deceptive TL Trap
160,1,492,0.805539,2050,1,UX,Deceptive TL Trap
160,2,488,0.842177,2050,1,UX,Deceptive TL Trap
160,3,576,0.879936,2050,1,UX,Deceptive TL Trap
160,4,490,0.726797,2050,1,UX,Deceptive TL Trap
160,5,582,0.867316,2050,1,UX,Deceptive TL Trap
160,6,501,0.910097,2050,1,UX,Deceptive TL Trap
160,7,560,0.862521,2050,1,UX,Deceptive TL Trap
160,8,525,0.802304,2050,1,UX,Deceptive TL Trap
160,9,475,0.747528,2050,1,UX,Deceptive TL Trap
160,10,527,0.790278,2050,0,UX,Deceptive TL Trap
161,1,21,0.042375,2010,0,UX,Deceptive TL Trap
161,2,21,0.025771,2010,0,UX,Deceptive TL Trap
161,3,21,0.018365,2010,0,UX,Deceptive TL Trap
161,4,21,0.015349,2010,0,UX,Deceptive TL Trap
161,5,21,0.015434,2010,0,UX,Deceptive TL Trap
161,6,21,0.015874,2010,0,UX,Deceptive TL Trap
161,7,21,0.015040,2010,0,UX,Deceptive TL Trap
161,8,21,0.015243,2010,0,UX,Deceptive TL Trap
161,9,21,0.015300,2010,0,UX,Deceptive TL Trap
161,10,21,0.015258,2010,0,UX,Deceptive TL Trap
162,1,236,0.987950,10000,0,2X,Deceptive Non-TL Trap
162,2,213,0.881464,10000,0,2X,Deceptive Non-TL Trap
162,3,270,1.103293,10000,0,2X,Deceptive Non-TL Trap
162,4,340,1.367044,10000,0,2X,Deceptive Non-TL Trap
162,5,161,0.622655,10000,0,2X,Deceptive Non-TL Trap
162,6,179,0.727187,10000,0,2X,Deceptive Non-TL Trap
162,7,140,0.585436,10000,0,2X,Deceptive Non-TL Trap
162,8,186,0.752095,10000,0,2X,Deceptive Non-TL Trap
162,9,154,0.632372,10000,0,2X,Deceptive Non-TL Trap
162,10,263,1.068022,10000,0,2X,Deceptive Non-TL Trap
